,ResponseId,DevType,Country,Amazon Web Services,Heroku,Netlify,Google Cloud,Fly.io,Cloudflare,Firebase,Vercel,Digital Ocean,Hetzner,VMware,Microsoft Azure,Databricks,Oracle Cloud,PythonAnywhere,Render,Supabase,Managed Hosting,OpenShift,OVH,IBM Cloud,Alibaba Cloud,Vultr,Colocation,Linode/Akamai,Scaleway,OpenStack
1767,1768,Back-End Developer,Netherlands,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1771,1772,QA Engineer,Greece,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1772,1773,Project Manager,Portugal,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1773,1774,Project Manager,United States,1.0,,,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,
1774,1775,Full-Stack Developer,United States,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1776,1777,Full-Stack Developer,United States,1.0,1.0,1.0,1.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,,,,,,,,,,
1777,1778,Data Analyst,Bangladesh,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1779,1780,Others,United States,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
1780,1781,Back-End Developer,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1783,1784,Full-Stack Developer,Nigeria,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
1786,1787,Data Science/ML,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1787,1788,Full-Stack Developer,France,1.0,,,1.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
1788,1789,Full-Stack Developer,Fiji,1.0,,,1.0,,,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
1791,1792,Full-Stack Developer,United States,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1792,1793,Project Manager,Belgium,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1793,1794,Others,Guatemala,1.0,,,1.0,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,
1795,1796,Mobile App Developer,India,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1796,1797,Professional Researcher,Italy,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,
1797,1798,Full-Stack Developer,Sweden,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1798,1799,Full-Stack Developer,United States,1.0,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,
1799,1800,Academic Researcher,Canada,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1800,1801,Back-End Developer,Brazil,1.0,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
1801,1802,System Administrator,Denmark,,,,,,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,
1802,1803,Back-End Developer,Germany,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1803,1804,Back-End Developer,Indonesia,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1804,1805,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1805,1806,Back-End Developer,France,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,
1807,1808,Back-End Developer,Slovakia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1808,1809,Back-End Developer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1809,1810,Back-End Developer,Romania,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1811,1812,Back-End Developer,Brazil,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1812,1813,Academic Researcher,Slovakia,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,1.0,
1813,1814,Full-Stack Developer,Brazil,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1814,1815,Mobile App Developer,United States,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
1815,1816,Back-End Developer,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1816,1817,Software Engineer,United States,1.0,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,1.0,,,,,1.0,,,,,,
1817,1818,Back-End Developer,Brazil,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1818,1819,Others,Germany,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1819,1820,Front-End Developer,Ukraine,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1821,1822,Mobile App Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1822,1823,Full-Stack Developer,Dominican Rep.,,,,1.0,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,,
1823,1824,Professional Researcher,Brazil,1.0,,,1.0,,1.0,,,,,,,,1.0,,,,,,,,,,,,,
1824,1825,Full-Stack Developer,Germany,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,
1826,1827,Professional Researcher,Australia,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
1827,1828,Cyber Security,United States,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
1830,1831,Back-End Developer,Italy,1.0,,,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,,,,,
1831,1832,Back-End Developer,France,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
1832,1833,DevOps Engineer,United States,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
1833,1834,Project Manager,Belgium,1.0,,,,,1.0,,,,,1.0,,,,,,,1.0,,,,,,,,,
1836,1837,Professional Researcher,Italy,1.0,,,,,1.0,,1.0,,,,,,,,,,,,,1.0,,,,,,
1839,1840,Professional Researcher,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1840,1841,Front-End Developer,Ukraine,1.0,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1842,1843,DevOps Engineer,United Kingdom,1.0,,,1.0,,1.0,,,,,1.0,1.0,1.0,,1.0,,,,,,,,,,,,
1843,1844,Full-Stack Developer,United States,1.0,,,1.0,,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,
1846,1847,Academic Researcher,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1847,1848,Full-Stack Developer,United Kingdom,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,
1848,1849,Back-End Developer,Poland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1849,1850,Back-End Developer,Germany,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1850,1851,Project Manager,Brazil,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1853,1854,Project Manager,Germany,1.0,,,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,,,
1855,1856,Full-Stack Developer,Switzerland,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
1856,1857,Full-Stack Developer,Israel,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1857,1858,Professional Researcher,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1858,1859,Full-Stack Developer,Netherlands,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,1.0,,,,
1859,1860,DevOps Engineer,Poland,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
1860,1861,Full-Stack Developer,Poland,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1861,1862,Project Manager,United States,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
1862,1863,Others,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1863,1864,Academic Researcher,Czech Republic,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,
1865,1866,Project Manager,Denmark,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1867,1868,Software Engineer,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1868,1869,Full-Stack Developer,United States,1.0,1.0,1.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
1869,1870,Full-Stack Developer,Portugal,1.0,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1870,1871,Back-End Developer,Venezuela,1.0,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,,,,,,,,1.0,,,,,1.0,1.0,
1872,1873,Software Engineer,Israel,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1873,1874,DevOps Engineer,United States,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1874,1875,Academic Researcher,United Kingdom,,,,1.0,,,,1.0,1.0,,,,,,,,,,,,,,,,,,
1875,1876,Full-Stack Developer,Germany,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1876,1877,Software Engineer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1877,1878,Full-Stack Developer,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1879,1880,Cyber Security,Bosnia & Herzegovina,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,1.0,,
1880,1881,Data Engineer,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1882,1883,Back-End Developer,Uganda,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,
1885,1886,Full-Stack Developer,United States,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,
1890,1891,Full-Stack Developer,United Kingdom,1.0,,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1891,1892,Data Science/ML,Lithuania,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1892,1893,Data Science/ML,United States,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
1893,1894,Academic Researcher,United Kingdom,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1896,1897,Hardware Engineer,Portugal,1.0,,,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,
1897,1898,Project Manager,Netherlands,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1898,1899,Full-Stack Developer,Ukraine,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
1899,1900,Others,United States,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,
1900,1901,Project Manager,United States,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1901,1902,Back-End Developer,Netherlands,1.0,,,1.0,1.0,1.0,1.0,,,1.0,,,,,,,1.0,,,,,,,,,,
1902,1903,Cloud Engineer,United States,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
1903,1904,Full-Stack Developer,Turkmenistan,1.0,1.0,,1.0,1.0,1.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,,,
1904,1905,Full-Stack Developer,Germany,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1906,1907,Others,Denmark,,,,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
1907,1908,Full-Stack Developer,United States,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1908,1909,Academic Researcher,Romania,,1.0,1.0,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
1909,1910,Academic Researcher,Germany,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1911,1912,Project Manager,Czech Republic,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
1912,1913,Project Manager,Poland,1.0,1.0,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
1913,1914,Software Engineer,Indonesia,1.0,1.0,,1.0,,1.0,1.0,,1.0,,,1.0,,,,,,1.0,,,,,,1.0,,,
1915,1916,Full-Stack Developer,El Salvador,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
1919,1920,Project Manager,United States,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
1920,1921,Front-End Developer,Israel,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
1922,1923,Back-End Developer,United States,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
1923,1924,Back-End Developer,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1924,1925,Academic Researcher,Austria,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1925,1926,Back-End Developer,Poland,1.0,1.0,,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,,
1927,1928,ML Engineer,Poland,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1928,1929,Front-End Developer,Norway,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1929,1930,Full-Stack Developer,Turkey,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1930,1931,Full-Stack Developer,United Kingdom,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
1932,1933,Back-End Developer,United States,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
1933,1934,Full-Stack Developer,United Kingdom,1.0,1.0,1.0,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,
1934,1935,Data Science/ML,Israel,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1937,1938,Back-End Developer,Sweden,,,,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,,,,
1939,1940,Full-Stack Developer,United States,1.0,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,
1941,1942,Software Engineer,United States,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1942,1943,Front-End Developer,Romania,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0
1943,1944,Project Manager,France,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1945,1946,Software Engineer,Brazil,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1946,1947,Academic Researcher,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1947,1948,System Administrator,United States,1.0,,,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,
1948,1949,Others,Israel,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
1949,1950,Project Manager,Germany,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1950,1951,Back-End Developer,United States,1.0,,,1.0,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,1.0,
1953,1954,Front-End Developer,Canada,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,
1954,1955,Full-Stack Developer,Ukraine,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1955,1956,Back-End Developer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1956,1957,Full-Stack Developer,United Kingdom,,1.0,1.0,1.0,,,1.0,1.0,1.0,,,,,,,,1.0,,,,,,,,,,
1957,1958,Full-Stack Developer,Poland,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
1958,1959,QA Engineer,Germany,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
1959,1960,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1961,1962,Full-Stack Developer,Ukraine,,1.0,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
1962,1963,Full-Stack Developer,Canada,1.0,1.0,1.0,1.0,,,,1.0,1.0,,,,,,,,,1.0,,1.0,,,1.0,,,,
1963,1964,DevOps Engineer,United States,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
1964,1965,Data Science/ML,United States,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,
1965,1966,Full-Stack Developer,Latvia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1969,1970,Academic Researcher,United Kingdom,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,
1970,1971,Full-Stack Developer,United States,1.0,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
1971,1972,Back-End Developer,Argentina,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1973,1974,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1974,1975,Full-Stack Developer,United States,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
1975,1976,Full-Stack Developer,Costa Rica,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,
1976,1977,Project Manager,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1977,1978,Full-Stack Developer,Japan,1.0,,,,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
1978,1979,Full-Stack Developer,Greece,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1979,1980,Full-Stack Developer,United Kingdom,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1981,1982,Full-Stack Developer,Guatemala,1.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
1982,1983,Full-Stack Developer,Germany,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
1983,1984,Full-Stack Developer,Japan,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1984,1985,Back-End Developer,Sweden,1.0,,,1.0,,,,,1.0,,,,,,,,,,1.0,,,,,,,,
1985,1986,Full-Stack Developer,United Kingdom,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
1987,1988,Back-End Developer,United States,,,,1.0,,1.0,,,,,,,,,,,,,,,,,1.0,,,,
1988,1989,Software Engineer,Australia,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,
1989,1990,Front-End Developer,France,1.0,,,,,1.0,,,,,,,,,,,,1.0,,1.0,,,,,,,
1990,1991,Full-Stack Developer,Argentina,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,
1991,1992,Front-End Developer,India,1.0,,,1.0,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
1992,1993,System Administrator,Australia,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
1993,1994,Back-End Developer,Greece,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,
1995,1996,Full-Stack Developer,Ukraine,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,
1996,1997,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
1997,1998,Data Science/ML,Ukraine,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
1999,2000,Project Manager,United States,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2000,2001,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2002,2003,QA Engineer,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2003,2004,Project Manager,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2006,2007,Full-Stack Developer,Germany,,,1.0,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,
2007,2008,Front-End Developer,Ukraine,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
2008,2009,Back-End Developer,Ukraine,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2009,2010,Full-Stack Developer,India,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2010,2011,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2012,Data Engineer,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2012,2013,Full-Stack Developer,United States,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2014,2015,DevOps Engineer,Canada,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
2015,2016,Full-Stack Developer,Greece,,1.0,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2016,2017,Back-End Developer,Kenya,1.0,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2017,2018,Professional Researcher,France,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,2019,Full-Stack Developer,United States,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
2019,2020,Full-Stack Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2020,2021,Back-End Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2021,2022,Back-End Developer,Ireland,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
2023,2024,Full-Stack Developer,Germany,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,
2024,2025,Back-End Developer,Denmark,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2027,2028,Software Engineer,Czech Republic,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0,,
2030,2031,Full-Stack Developer,Switzerland,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,
2031,2032,Back-End Developer,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2032,2033,Software Engineer,Ukraine,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
2033,2034,Back-End Developer,Argentina,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2034,2035,Others,Canada,1.0,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,
2035,2036,Cyber Security,New Zealand,1.0,,,,1.0,,,,1.0,,,,,,,,1.0,,,,,,1.0,,,,
2036,2037,QA Engineer,Ukraine,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2037,2038,Project Manager,Netherlands,,,1.0,,,,,1.0,,,,1.0,,,,,,,,,,,,,,,
2038,2039,Others,United States,,,,1.0,,1.0,,,,,,1.0,1.0,,,,,,,,,,,,,,
2039,2040,Full-Stack Developer,Canada,1.0,,,1.0,,,,,,,,1.0,,,,1.0,,,,,,,,,,,
2041,2042,Back-End Developer,Ukraine,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2043,2044,Back-End Developer,United States,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2044,2045,Project Manager,Israel,,,1.0,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,
2045,2046,Back-End Developer,Poland,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
2046,2047,Others,Australia,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2048,2049,Back-End Developer,Germany,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2049,2050,Software Engineer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2051,2052,Others,Taiwan,,1.0,,1.0,,,1.0,,,,1.0,1.0,,1.0,,,,,,,,,,,,,1.0
2052,2053,Mobile App Developer,United Kingdom,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2053,2054,Software Engineer,Sweden,1.0,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,,,
2055,2056,Full-Stack Developer,Mexico,1.0,,1.0,1.0,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,
2056,2057,Data Science/ML,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2057,2058,Full-Stack Developer,United States,1.0,,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,,,,1.0,,,,
2058,2059,Full-Stack Developer,France,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,,,
2059,2060,Project Manager,United Kingdom,1.0,1.0,1.0,1.0,1.0,1.0,,1.0,1.0,,,1.0,,,,1.0,1.0,,,,,,,,,,
2060,2061,Full-Stack Developer,Nigeria,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
2061,2062,Full-Stack Developer,Israel,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2062,2063,Full-Stack Developer,New Zealand,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2063,2064,Mobile App Developer,Canada,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2064,2065,Mobile App Developer,Cuba,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
2065,2066,Front-End Developer,Israel,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2066,2067,Full-Stack Developer,Canada,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2067,2068,Software Engineer,Germany,1.0,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
2069,2070,DevOps Engineer,United States,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
2070,2071,Cyber Security,Czech Republic,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
2073,2074,Academic Researcher,United States,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2074,2075,Back-End Developer,Brazil,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
2076,2077,Others,India,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2079,2080,Full-Stack Developer,France,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2080,2081,Full-Stack Developer,United Kingdom,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2081,2082,Full-Stack Developer,United States,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,
2082,2083,Back-End Developer,Egypt,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,
2084,2085,System Administrator,Belgium,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2086,2087,Data Science/ML,Germany,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2087,2088,Full-Stack Developer,United States,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2088,2089,Full-Stack Developer,Germany,,,1.0,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,
2090,2091,Back-End Developer,Bosnia & Herzegovina,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,
2091,2092,Front-End Developer,India,1.0,,1.0,1.0,,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,
2092,2093,Back-End Developer,Brazil,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2093,2094,Back-End Developer,United States,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2094,2095,Back-End Developer,Ireland,1.0,1.0,,1.0,,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,
2095,2096,Full-Stack Developer,United States,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2098,2099,Full-Stack Developer,Canada,1.0,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
2099,2100,Project Manager,United States,1.0,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
2101,2102,Full-Stack Developer,United States,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
2102,2103,Full-Stack Developer,United States,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
2104,2105,Full-Stack Developer,Germany,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
2107,2108,Full-Stack Developer,Germany,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
2108,2109,Full-Stack Developer,Norway,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,
2109,2110,Front-End Developer,Armenia,1.0,1.0,1.0,1.0,,1.0,1.0,1.0,,,,,,,1.0,,,,,,,,,,,,
2112,2113,Front-End Developer,United Kingdom,1.0,,,,,1.0,,1.0,1.0,,,1.0,,,,,,,,,,,,,,,
2114,2115,Back-End Developer,New Zealand,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
2115,2116,Others,United States,,,,,,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,
2116,2117,Full-Stack Developer,United States,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
2117,2118,Data Analyst,Nigeria,1.0,,,1.0,,,1.0,,1.0,,1.0,,1.0,,1.0,,,,,,,,,,,,
2118,2119,Academic Researcher,Netherlands,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
2119,2120,Data Engineer,Russia,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
2121,2122,Project Manager,France,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,
2122,2123,Back-End Developer,Poland,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
2123,2124,Full-Stack Developer,Ukraine,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
2126,2127,Full-Stack Developer,Sweden,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
